"Name","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","User_Score","Rating","log_JP_Sales","log_Other_Sales","sqrt_Critic_Count","log_User_Count"
"UFC Personal Trainer: The Ultimate Fitness System","X360","2011","Sports","THQ",0.77,70,6.5,"E",0,0.0582689081239758,6,2.77258872223978
"Madden NFL 08","X360","2007","Sports","Electronic Arts",2.37,85,6.4,"E",0,0.165514438477573,6.78232998312527,4.69134788222914
"Assassin's Creed: Unity","PC","2014","Action","Ubisoft",0.55,70,3,"M",0,0.0392207131532813,3.16227766016838,7.28892769452126
"World Championship Spelling","DS","2010","Misc","505 Games",0.04,68.5,7,"E",0,0,4.12310562561766,2.63905732961526
"Block Party","Wii","2008","Misc","Activision",0.15,68.5,2.8,"E10+",0,0.00995033085316809,4.12310562561766,1.6094379124341
"Test Drive Unlimited","PC","2007","Racing","Atari",0.02,79,8.1,"T",0,0,4.24264068711928,4.8283137373023
"Luxor: Pharaoh's Challenge","Wii","N/A","Puzzle","Funsta",0.04,70,7.5,"E",0,0,3.74165738677394,2.484906649788
"Syphon Filter 2","PS","2000","Shooter","Sony Computer Entertainment",2.15,73,7.4,"Unknown",0.0198026272961797,0.0769610411361284,5.65685424949238,4.14313472639153
"South Park Rally","N64","2000","Racing","Acclaim Entertainment",0.2,69,7.4,"Unknown",0,0,4.24264068711928,2.89037175789616
"Army Men World War: Final Front","PS","2001","Action","3DO",0.44,68,7.4,"Unknown",0,0.0295588022415444,4.69041575982343,3.29583686600433
"Petz: Catz 2","PS2","2006","Simulation","Ubisoft",0.37,70,7.6,"E",0,0.048790164169432,4.12310562561766,3.04452243772342
"Far Cry: Primal","PC","2016","Action","Ubisoft",0.16,74,4.8,"M",0,0.00995033085316809,4.24264068711928,5.91079664404053
"Adventures of Tron","2600","1981","Action","Mattel Interactive",0.67,68,7.4,"Unknown",0,0.00995033085316809,4.69041575982343,3.29583686600433
"NTRA Breeders' Cup World Thoroughbred Championships","XB","2005","Simulation","Bethesda Softworks",0.06,70,7.6,"Unknown",0,0,4.12310562561766,3.04452243772342
"Disney TH!NK Fast: The Ultimate Trivia Showdown","Wii","2008","Misc","Disney Interactive Studios",0.6,68.5,7,"Unknown",0.00995033085316809,0.0582689081239758,4.12310562561766,2.63905732961526
"ATV Offroad Fury Pro","PSP","2006","Racing","Sony Computer Entertainment",0.45,76,7.4,"E",0,0.0392207131532813,5.65685424949238,2.89037175789616
"Wade Hixton's Counter Punch","GBA","2004","Sports","Destination Software, Inc",0.01,78,9.5,"T",0,0,3.60555127546399,1.6094379124341
"Futurama","XB","2003","Platform","SCi",0.05,58,6.9,"T",0,0,4.58257569495584,2.70805020110221
"Blazing Angels 2: Secret Missions of WWII","X360","2007","Simulation","Ubisoft",0.14,72,7.8,"T",0,0.00995033085316809,4.89897948556636,2.56494935746154
"Tokimeki Memorial: Taisen Pazurudama","PS","1996","Puzzle","Konami Digital Entertainment",0.1,70,7.5,"Unknown",0.0861776962410524,0.00995033085316809,3.74165738677394,2.484906649788
"Saban's Power Rangers: Lightspeed Rescue","N64","2000","Action","THQ",0.36,68,7.4,"Unknown",0,0,4.69041575982343,3.29583686600433
"Martian Gothic: Unification","PS","2001","Adventure","Take-Two Interactive",0.11,64,6.1,"M",0,0.00995033085316809,2,2.83321334405622
"Clock Tower 3","PS2","2002","Adventure","Capcom",0.33,69,7.6,"M",0.113328685307003,0.0295588022415444,5.29150262212918,3.66356164612965
"LEGO Marvel Super Heroes","PC","2013","Action","Warner Bros. Interactive Entertainment",0.17,78,8.1,"E10+",0,0.00995033085316809,2.64575131106459,4.8283137373023
"Puzzle Chronicles","PSP","2010","Puzzle","Konami Digital Entertainment",0.08,62,7.5,"E10+",0,0.00995033085316809,4.35889894354067,2.484906649788
"Mega Man X: Command Mission","PS2","2004","Role-Playing","Capcom",0.18,69,7.1,"E",0,0.0198026272961797,5.19615242270663,2.94443897916644
"SimCity 2000","SNES","1995","Simulation","THQ",0.49,70,7.6,"Unknown",0.398776119957368,0,4.12310562561766,3.04452243772342
"Aggressive Inline","GC","2002","Sports","Acclaim Entertainment",0.06,88,7.8,"T",0,0,4,1.79175946922805
"Knockout Kings","PS","1997","Fighting","Electronic Arts",1.52,72,7.7,"Unknown",0,0.0582689081239758,4.89897948556636,3.3322045101752
"Dragon Ball Z: Infinite World","PS2","2008","Fighting","Namco Bandai Games",0.36,48,7.9,"T",0.19062035960865,0.0198026272961797,4.12310562561766,3.63758615972639
"Galerians: Ash","PS2","2002","Adventure","Sammy Corporation",0.07,50,7.9,"T",0,0.00995033085316809,4.69041575982343,2.484906649788
"Far East of Eden II: Manji Maru","PS2","2003","Role-Playing","Hudson Soft",0.17,74,7.9,"Unknown",0.157003748809665,0,5.47722557505166,3.96081316959758
"World Soccer Jikkyou Winning Eleven 3: World Cup France '98","PS","1998","Sports","Konami Digital Entertainment",0.81,75,7.4,"Unknown",0.559615787935423,0.048790164169432,4.24264068711928,2.83321334405622
"Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales)","PS2","2008","Role-Playing","Atlus",0.17,74,7.9,"Unknown",0.157003748809665,0,5.47722557505166,3.96081316959758
"SaGa 2: Hihou Densetsu - Goddess of Destiny","DS","2009","Role-Playing","Square Enix",0.17,74,7.9,"Unknown",0.157003748809665,0,5.47722557505166,3.96081316959758
"Mega Man Battle Network 5: Double Team DS (US sales)","DS","2005","Role-Playing","Nintendo",0.06,74,7.9,"Unknown",0,0,5.47722557505166,3.96081316959758
"F-14 Tomcat","GBA","2001","Action","Majesco Entertainment",0.7,67,7.4,"E",0,0.00995033085316809,2.82842712474619,3.29583686600433
"Castlevania Bloodlines","GEN","1994","Platform","Konami Digital Entertainment",0.04,69,7.7,"Unknown",0.0392207131532813,0,4.12310562561766,3.13549421592915
"Hallowed Legends: Samhain","PC","2011","Adventure","Focus Home Interactive",0.03,66,7.5,"Unknown",0,0.00995033085316809,4,2.77258872223978
"Pro Evolution Soccer 2010","PS3","2009","Sports","Konami Digital Entertainment",2.28,78,6.7,"E",0.378436435720245,0.231111720963387,6.48074069840786,4.34380542185368
"WWE Crush Hour","PS2","2003","Racing","THQ",0.35,56,5.3,"T",0,0.0392207131532813,3.60555127546399,2.19722457733622
"Tomb Raider","PS","1996","Action","Eidos Interactive",4.63,91,8.6,"T",0.122217632724249,0.215111379616945,3.60555127546399,4.99721227376411
"Major League Baseball 2K12","X360","2012","Sports","Take-Two Interactive",0.5,68,6.4,"E",0,0.0295588022415444,4.35889894354067,3.13549421592915
"Kinnikuman Muscle Grand Prix Max 2: Tokumori","PS2","2008","Fighting","Namco Bandai Games",0.07,72,7.7,"Unknown",0.0676586484738149,0,4.89897948556636,3.3322045101752
"Hell's Kitchen: The Game","DS","2008","Simulation","Ubisoft",0.37,70,7.6,"Unknown",0,0.0295588022415444,4.12310562561766,3.04452243772342
"Vehicular Combat League presents Motor Mayhem","PS2","2001","Racing","Atari",0.16,69,7.4,"Unknown",0,0.0198026272961797,4.24264068711928,2.89037175789616
"Kingdom Hearts 358/2 Days","DS","2009","Role-Playing","Square Enix",1.98,75,7.8,"E10+",0.425267735404344,0.122217632724249,7.28010988928052,5.09375020080676
"Injustice: Gods Among Us","PSV","2013","Fighting","Warner Bros. Interactive Entertainment",0.13,72,7.7,"Unknown",0,0.0295588022415444,4.89897948556636,3.3322045101752
"Dragon Ball Z: Budokai Tenkaichi 3","Wii","2007","Fighting","Atari",1.02,72,8.4,"T",0.231111720963387,0.0861776962410524,5.19615242270663,4.12713438504509
"Emily Archer and the Curse of Tutankhamun","DS","2011","Adventure","Mastertronic",0.03,66,7.5,"E10+",0,0,4,2.77258872223978
"Spider-Man: The Movie","PS2","2002","Action","Activision",4.48,76,7.9,"E",0.0295588022415444,0.207014169384326,5,3.73766961828337
"Strawberry Shortcake: Strawberryland Games","DS","2006","Action","Game Factory",0.05,68,7.4,"E",0,0,4.69041575982343,3.29583686600433
"LEGO Harry Potter: Years 1-4","PS3","2010","Action","Warner Bros. Interactive Entertainment",1.31,79,8,"E10+",0,0.19062035960865,6.48074069840786,3.97029191355212
"Field Commander","PSP","2006","Strategy","Sony Online Entertainment",0.16,77,7.8,"T",0,0.00995033085316809,7.28010988928052,3.46573590279973
"R.U.S.E.","X360","2010","Strategy","Ubisoft",0.27,78,7,"T",0,0.0198026272961797,6.70820393249937,3.66356164612965
"Pro Evolution Soccer 2008","PS3","2007","Sports","Konami Digital Entertainment",1.59,74,6.1,"E",0.27763173659828,0.122217632724249,4.35889894354067,3.87120101090789
"Over the Hedge","GC","2006","Platform","Activision",0.35,61,9.3,"E10+",0,0.00995033085316809,4.58257569495584,1.94591014905531
"Family GameShow","Wii","2009","Misc","Zushi Games",0.09,68.5,7,"E10+",0,0.00995033085316809,4.12310562561766,2.63905732961526
"World Championship Poker featuring Howard Lederer: All In","Wii","2006","Misc","505 Games",0.02,68.5,7,"T",0,0,4.12310562561766,2.63905732961526
"WWE All Stars","Wii","2011","Fighting","THQ",0.19,68,7,"T",0,0.0198026272961797,3.3166247903554,2.19722457733622
"Rock Band 3","X360","2010","Misc","MTV Games",0.88,93,8.2,"T",0,0.0582689081239758,7.54983443527075,4.92725368515721
"Diner Dash: Flo on the Go","DS","2009","Puzzle","Zoo Games",0.14,70,7.5,"E",0,0.00995033085316809,3.74165738677394,2.484906649788
"Super Robot Taisen α Gaiden","PS","2001","Strategy","Banpresto",0.62,74,7.9,"Unknown",0.457424847038875,0.0392207131532813,4.89897948556636,3.59731226058845
"Atari Flashback Classics: Volume 1","PS4","2016","Misc","Atari",0.03,68.5,7,"E",0,0,4.12310562561766,2.63905732961526
"Tom and Jerry in War of the Whiskers","PS2","2002","Fighting","Ubisoft",0.26,72,7.7,"Unknown",0,0.0295588022415444,4.89897948556636,3.3322045101752
"Left 4 Dead 2","PC","2009","Shooter","Valve Software",0.36,89,8.5,"M",0,0.0392207131532813,7.41619848709566,7.83636976054512
"Star Wars Episode II: Attack of the Clones","GBA","2002","Action","THQ",0.77,38,5,"E",0,0.00995033085316809,3.74165738677394,1.94591014905531
"Backyard NFL Football","Wii","2007","Sports","Atari",0.03,75,7.4,"Unknown",0,0,4.24264068711928,2.83321334405622
"Dragon Quest Heroes: The World's Tree Woe and the Blight Below","PS4","2015","Action","Square Enix",0.74,68,7.4,"Unknown",0.314810739840034,0.0582689081239758,4.69041575982343,3.29583686600433
"Captain Morgane and the Golden Turtle","PC","2012","Adventure","Reef Entertainment",0.03,54,6.2,"Unknown",0,0,2.44948974278318,2.484906649788
"Kingdom Hearts Re:coded","DS","2010","Role-Playing","Square Enix",0.93,66,7,"E10+",0.2390169004705,0.048790164169432,7.61577310586391,4.34380542185368
"Star Fox 64 3D","3DS","2011","Shooter","Nintendo",0.94,81,8.2,"E10+",0.122217632724249,0.0582689081239758,8.06225774829855,5.44673737166631
"Mega Man X","SNES","1993","Platform","Capcom",1.16,69,7.7,"Unknown",0.405465108108164,0.00995033085316809,4.12310562561766,3.13549421592915
"King's Field","PS","1995","Role-Playing","Sony Computer Entertainment",0.16,74,7.9,"Unknown",0,0.00995033085316809,5.47722557505166,3.96081316959758
"Junior Classic Games","DS","2009","Misc","Avanquest",0.38,68.5,7,"E",0,0.0295588022415444,4.12310562561766,2.63905732961526
"Rhythm Heaven","DS","2008","Misc","Nintendo",3.11,83,9,"E",1.07500242302898,0.122217632724249,6.92820323027551,4.15888308335967
"Medieval II: Total War Gold Edition","PC","2008","Strategy","Sega",0.37,74,8,"T",0,0.0295588022415444,4.89897948556636,2.30258509299405
"Mario vs. Donkey Kong: Tipping Stars","3DS","2015","Puzzle","Nintendo",0.06,70,7.5,"E",0.0582689081239758,0,3.87298334620742,3.89182029811063
"God of War Collection","PS3","2009","Action","Sony Computer Entertainment",2.6,91,8.7,"M",0.0582689081239758,0.336472236621213,7.07106781186548,6.27287700654617
"Freddi Fish: ABC under the sea","DS","2008","Misc","Atari",0.13,68.5,7,"Unknown",0,0.00995033085316809,4.12310562561766,2.63905732961526
"Jampack Spring 2004 (RP-T)","PS2","2003","Misc","Sony Computer Entertainment",0.41,68.5,7,"Unknown",0,0.048790164169432,4.12310562561766,2.63905732961526
"NHL 11","PS3","2010","Sports","Electronic Arts",0.59,88,7.1,"E10+",0,0.0676586484738149,6.16441400296898,4.00733318523247
"Mega Man 4","NES","1991","Platform","Capcom",0.93,69,7.7,"Unknown",0.27763173659828,0.00995033085316809,4.12310562561766,3.13549421592915
"Spy Hunter","XB","2002","Racing","Midway Games",0.34,71,7.4,"T",0,0.00995033085316809,4.35889894354067,2.89037175789616
"Rayman Raving Rabbids 2","DS","2007","Misc","Ubisoft",0.8,57,7,"E10+",0,0.0582689081239758,2.82842712474619,2.77258872223978
"World Championship Poker","PS2","2004","Misc","Play It",0.95,60,7.7,"E",0,0.122217632724249,2.82842712474619,2.484906649788
"Dishonored 2","XOne","2016","Action","Bethesda Softworks",0.22,88,6.8,"M",0,0.0198026272961797,4.69041575982343,5.05624580534831
"Madden NFL 16","XOne","2015","Sports","Electronic Arts",2.42,84,6.1,"E",0,0.231111720963387,4.79583152331272,4.8283137373023
"SpongeBob's Truth or Square","X360","2009","Action","THQ",0.07,68,6.5,"E",0,0,4.69041575982343,2.77258872223978
"The Sims 2: Castaway","Wii","2007","Simulation","Electronic Arts",1.2,73,8.2,"T",0,0.131028262406404,4.35889894354067,2.39789527279837
"Tomb Raider: Legend","PC","2006","Action","Eidos Interactive",0.02,82,7.9,"T",0,0,5.56776436283002,5.50125821054473
"Eve: Burst Error R","PSV","2016","Action","Red Flagship",0.01,68,7.4,"Unknown",0.00995033085316809,0,4.69041575982343,3.29583686600433
"LEGO Dimensions","PS3","2015","Action","Warner Bros. Interactive Entertainment",0.55,68,6.4,"Unknown",0,0.0861776962410524,4.69041575982343,2.94443897916644
"Cities XL 2011","PC","2010","Simulation","Focus Home Interactive",0.02,70,5.7,"E",0,0,4.12310562561766,3.68887945411394
"Tsuki no Hikari: Shizumeru Kane no Satsujin","PS2","2002","Adventure","Victor Interactive",0.02,66,7.5,"Unknown",0.0198026272961797,0,4,2.77258872223978
"Spec Ops: The Line","X360","2012","Shooter","Take-Two Interactive",0.42,76,8.2,"M",0,0.0392207131532813,7.68114574786861,5.76832099579377
"Ninja Gaiden II","X360","2008","Action","Tecmo Koei",1.01,81,8,"M",0.048790164169432,0.0953101798043249,8.60232526704263,5.71373280550937
"G1 Grand Prix","3DS","2012","Action","Genki",0.05,68,7.4,"Unknown",0.048790164169432,0,4.69041575982343,3.29583686600433
"Fishing Master (jp sales)","Wii","2007","Sports","Konami Digital Entertainment",0.06,75,7.4,"Unknown",0.0582689081239758,0,4.24264068711928,2.83321334405622
"Brandish: The Dark Revenant","PSP","2009","Role-Playing","Falcom Corporation",0.02,78,8.3,"T",0.0198026272961797,0,3,2.56494935746154
"Shin Hayarigami 2","PS4","2016","Adventure","Nippon Ichi Software",0.01,66,7.5,"Unknown",0.00995033085316809,0,4,2.77258872223978
"Chrysler Classic Racing","DS","2008","Racing","Zoo Games",0.02,69,7.4,"E",0,0,4.24264068711928,2.89037175789616
"Vampire Savior: The Lord of Vampire","SAT","1998","Fighting","Capcom",0.18,72,7.7,"Unknown",0.165514438477573,0,4.89897948556636,3.3322045101752
"F1 2014","PS3","2014","Racing","Codemasters",0.41,62,4.1,"E",0.0198026272961797,0.0582689081239758,4.35889894354067,3.36729582998647
"NBA Ballers: Phenom","PS2","2006","Sports","Midway Games",0.47,69,8.5,"E",0,0.0582689081239758,4.35889894354067,2.19722457733622
"Gallop Racer 2001","PS2","2001","Sports","Tecmo Koei",0.17,71,9.1,"E",0.0582689081239758,0.00995033085316809,3.3166247903554,4.04305126783455
"Skate it","DS","2008","Sports","Electronic Arts",0.17,72,7.8,"E",0,0.00995033085316809,3.60555127546399,2.56494935746154
"Fast Racing Neo ","WiiU","2016","Action","Nintendo",0.01,81,8.5,"E",0,0,6.78232998312527,5.02388052084628
"Wall-E","PC","2008","Platform","THQ",0.02,58,6.8,"E",0,0,2.44948974278318,2.89037175789616
"NASCAR The Game: Inside Line","X360","2012","Racing","Activision",0.1,72,3.4,"E",0,0.00995033085316809,2.64575131106459,3.3322045101752
"NCAA Football 06","XB","2005","Sports","Electronic Arts",0.97,87,8.3,"E",0,0.0295588022415444,6.16441400296898,3.3322045101752
"Madden NFL 06","GBA","2005","Sports","Electronic Arts",0.23,71,7.4,"E",0,0,2.64575131106459,2.83321334405622
"Shaman King: Chou Senjiryokketsu 3","GBA","2002","Role-Playing","King Records",0.02,74,7.9,"Unknown",0.0198026272961797,0,5.47722557505166,3.96081316959758
"We Wish You A Merry Christmas","Wii","2009","Action","Destineer",0.19,68,7.4,"E",0,0.0198026272961797,4.69041575982343,3.29583686600433
"Viva Pinata","PC","2007","Simulation","Microsoft Game Studios",0.02,78,7.8,"E",0,0,4.47213595499958,3.04452243772342
"Raiden IV","X360","2008","Shooter","Moss",0.12,63,7.8,"E10+",0.00995033085316809,0.00995033085316809,2,2.39789527279837
"Power Rangers: Super Legends","DS","2007","Action","Disney Interactive Studios",0.1,68,7.4,"Unknown",0,0.00995033085316809,4.69041575982343,3.29583686600433
"Hakuoki Zuisouroku Omokage Hana","PSV","2015","Action","Idea Factory",0.03,68,7.4,"Unknown",0.0295588022415444,0,4.69041575982343,3.29583686600433
"Jikkyou Powerful Pro Yakyuu 2013","PSP","2013","Sports","Konami Digital Entertainment",0.17,75,7.4,"Unknown",0.157003748809665,0,4.24264068711928,2.83321334405622
"Super Robot Monkey Team: Game Boy Advance Video Volume 1","GBA","2005","Misc","N/A",0.01,68.5,7,"Unknown",0,0,4.12310562561766,2.63905732961526
"Avatar: The Last Airbender - The Burning Earth","DS","2007","Action","THQ",0.34,68,7.4,"Unknown",0,0.0295588022415444,4.69041575982343,3.29583686600433
"Cabela's Survival: Shadows of Katmai","PS3","2011","Sports","Activision",0.18,75,7.4,"T",0,0.0198026272961797,4.24264068711928,1.79175946922805
"Hamster Tarou","GB","1999","Simulation","Jorudan",0.3,70,7.6,"Unknown",0.262364264467491,0,4.12310562561766,3.04452243772342
"Mobile Suit Gundam Age: Universe Accel / Cosmic Drive","PSP","2012","Action","Namco Bandai Games",0.11,68,7.4,"Unknown",0.104360015324243,0,4.69041575982343,3.29583686600433
"Discworld","PS","1994","Adventure","Psygnosis",0.06,66,7.5,"Unknown",0,0,4,2.77258872223978
"Rogue Ops","XB","2003","Action","Kemco",0.13,63,7.4,"M",0,0,4.89897948556636,3.29583686600433
"SoulCalibur Legends (JP sales)","Wii","2007","Action","Namco Bandai Games",0.01,68,7.4,"Unknown",0.00995033085316809,0,4.69041575982343,3.29583686600433
"Naruto Shippuden: Kizuna Drive","PSP","2010","Action","Namco Bandai Games",0.13,57,5,"T",0.048790164169432,0.00995033085316809,4.69041575982343,1.94591014905531
"Jackie Chan: Stuntmaster","PS","1999","Action","Sony Computer Entertainment",0.22,68,7.4,"Unknown",0,0.00995033085316809,4.69041575982343,3.29583686600433
"X-Men Legends","GC","2004","Role-Playing","Activision",0.53,81,8.5,"T",0,0.00995033085316809,6,2.484906649788
"Dragon Quest Monsters: Joker 2","DS","2010","Role-Playing","Square Enix",1.41,77,7.3,"E",0.806475865866949,0.0198026272961797,5.74456264653803,2.77258872223978
"Power Play Pool","DS","2006","Sports","System 3 Arcade Software",0.04,75,7.4,"E",0,0,4.24264068711928,2.83321334405622
"HSX HyperSonic.Xtreme","PS2","2002","Racing","Midas Interactive Entertainment",0.51,53,8.4,"E",0,0.0676586484738149,4.12310562561766,2.19722457733622
"Kurogane Kaikitan","PSV","2015","Adventure","Minato Station",0.01,66,7.5,"Unknown",0.00995033085316809,0,4,2.77258872223978
"Armored Core: Verdict Day","PS3","2013","Simulation","From Software",0.12,66,7.4,"T",0.113328685307003,0,4.24264068711928,3.36729582998647
"Clive Barker's Jericho","PC","2007","Shooter","Codemasters",0.01,63,7.5,"M",0,0,5,5.3890717298165
"SimCity 2000","SAT","1994","Simulation","Sega",0.28,70,7.6,"Unknown",0.246860077931526,0,4.12310562561766,3.04452243772342
"Frank Thomas Big Hurt Baseball","PS","1996","Sports","Acclaim Entertainment",0.14,75,7.4,"Unknown",0,0.00995033085316809,4.24264068711928,2.83321334405622
"NHL FaceOff 2003","PS2","2002","Sports","Sony Computer Entertainment",0.23,55,7.4,"E",0,0.0295588022415444,4.47213595499958,2.83321334405622
"Monster Hunter Frontier Online","X360","2010","Role-Playing","Capcom",0.13,74,7.9,"Unknown",0.122217632724249,0,5.47722557505166,3.96081316959758
"NCAA Football 2005","GC","2004","Sports","Electronic Arts",0.22,88,9,"E",0,0.00995033085316809,4.24264068711928,1.79175946922805
"Greg Hastings' Tournament Paintball","XB","2004","Shooter","Activision",0.54,74,9.2,"T",0,0.0198026272961797,3.3166247903554,3.76120011569356
"Dave Mirra Freestyle BMX 2","PS2","2001","Sports","Acclaim Entertainment",1.38,81,8.1,"T",0,0.165514438477573,4.58257569495584,2.94443897916644
"DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun","DS","2007","Misc","Shogakukan",0.1,68.5,7,"Unknown",0.0953101798043249,0,4.12310562561766,2.63905732961526
"Deadly Duck","2600","1981","Shooter","20th Century Fox Video Games",0.22,73,7.4,"Unknown",0,0,5.65685424949238,4.14313472639153
"LEGO Harry Potter: Years 1-4","X360","2010","Action","Warner Bros. Interactive Entertainment",1.55,79,8,"E10+",0,0.131028262406404,7.61577310586391,4.14313472639153
"Deadliest Catch: Alaskan Storm","X360","2008","Sports","Navarre Corp",0.05,56,5.9,"T",0,0,3.74165738677394,2.77258872223978
"NBA 2K12","Wii","2011","Sports","Take-Two Interactive",0.34,75,6.8,"E",0,0.0198026272961797,4.24264068711928,1.94591014905531
"Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen","PSP","2012","Action","Namco Bandai Games",0.06,68,7.4,"Unknown",0.0582689081239758,0,4.69041575982343,3.29583686600433
"Need for Speed: ProStreet","DS","2007","Racing","Electronic Arts",0.12,74,7.4,"E",0,0.00995033085316809,2.82842712474619,2.39789527279837
"Conflict: Desert Storm","GC","2003","Shooter","SCi",0.08,62,8.4,"T",0,0,4.35889894354067,2.63905732961526
"Alundra","PS","1997","Role-Playing","Psygnosis",0.23,86,9,"T",0,0.00995033085316809,3,3.73766961828337
"Tekken 6","PSP","2009","Fighting","Namco Bandai Games",0.32,82,8.2,"T",0.0953101798043249,0.0295588022415444,6.2449979983984,4.23410650459726
"Brunswick Circuit Pro Bowling","N64","1999","Sports","THQ",0.06,75,7.4,"Unknown",0,0,4.24264068711928,2.83321334405622
"Sherlock Holmes and the Mystery of Osborne House","DS","2010","Adventure","Focus Home Interactive",0.23,48,7.5,"E10+",0,0.0295588022415444,3.3166247903554,2.77258872223978
"Apex","XB","2003","Racing","Atari",0.14,74,9.1,"E",0,0,5.09901951359278,2.07944154167984
"WWE SmackDown vs. Raw 2010","PS2","2009","Fighting","THQ",1.07,72,7.7,"T",0,0.431782416425538,4.89897948556636,3.46573590279973
"Grandia Xtreme","PS2","2002","Role-Playing","Enix Corporation",0.38,68,6.5,"T",0.22314355131421,0.0198026272961797,4,2.77258872223978
"One Piece: Unlimited Adventure","Wii","2007","Adventure","Namco Bandai Games",0.19,67,8.5,"T",0.104360015324243,0.00995033085316809,4.12310562561766,3.49650756146648
"Etrian Odyssey III: The Drowned City","DS","2010","Role-Playing","Atlus",0.31,77,8,"E10+",0.173953307123438,0.00995033085316809,4.79583152331272,3.09104245335832
"Turok: Evolution","GBA","2002","Shooter","Acclaim Entertainment",0.12,72,7,"T",0,0,2.82842712474619,1.79175946922805
"Red Faction II","PS2","2002","Shooter","THQ",1.5,84,8.3,"M",0,0.207014169384326,5.47722557505166,3.58351893845611
"Pirates: Legend of the Black Buccaneer","PS2","2006","Adventure","10TACLE Studios",0.02,42,7,"T",0,0,2,1.79175946922805
"LEGO Star Wars: The Video Game","PS2","2005","Action","Eidos Interactive",3.53,68,7.4,"Unknown",0.00995033085316809,0.343589704390077,4.69041575982343,3.29583686600433
