"Name","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","User_Score","Rating","log_JP_Sales","log_Other_Sales","sqrt_Critic_Count","log_User_Count","length_Name","length_Publisher","new_platform","yearI","yearII","is_important_genre","is_important_platform"
"Project X Zone","2012","Role-Playing","Namco Bandai Games",0.39,70,7.3,"T",0.139761942375159,0.0198026272961797,7.28010988928052,4.99043258677874,3,3,"DS","6","3","0","0"
"Ar Nosurge: Ode to an Unborn Star","2014","Role-Playing","Tecmo Koei",0.04,74,7.9,"Unknown",0.0392207131532813,0,5.47722557505166,3.96081316959758,7,2,"PS","6","3","0","1"
"Harry Potter: Quidditch World Cup","2003","Sports","Electronic Arts",0.4,68,8.5,"E",0,0.00995033085316809,4,2.39789527279837,5,2,"GC","4","2","1","0"
"Mobile Suit Gundam: One Year War","2005","Action","Namco Bandai Games",0.44,68,7.4,"Unknown",0.364643113587909,0,4.69041575982343,3.29583686600433,6,3,"PS","4","2","1","1"
"Disney Infinity 2.0: Marvel Super Heroes","2014","Action","Disney Interactive Studios",0.65,68,7.4,"Unknown",0,0.0582689081239758,4.69041575982343,3.29583686600433,7,3,"Wii","6","3","1","1"
"The 3rd Birthday","2010","Role-Playing","Square Enix",0.51,71,6.1,"M",0.2390169004705,0.048790164169432,7.48331477354788,4.7361984483945,3,2,"PS","5","2","0","1"
"One Piece: Burning Blood","2016","Fighting","Namco Bandai Games",0.35,66,7.8,"T",0.0676586484738149,0.048790164169432,6.70820393249937,3.91202300542815,4,3,"PS","7","3","1","1"
"LEGO Marvel Super Heroes","2013","Action","Warner Bros. Interactive Entertainment",0.38,68,4.8,"E10+",0,0.0295588022415444,4.69041575982343,1.79175946922805,4,4,"DS","6","3","1","0"
"UFC Personal Trainer: The Ultimate Fitness System","2011","Sports","THQ",0.77,70,6.5,"E",0,0.0582689081239758,6,2.77258872223978,7,1,"XB","6","3","1","1"
"Madden NFL 08","2007","Sports","Electronic Arts",2.37,85,6.4,"E",0,0.165514438477573,6.78232998312527,4.69134788222914,3,2,"XB","5","2","1","1"
"Assassin's Creed: Unity","2014","Action","Ubisoft",0.55,70,3,"M",0,0.0392207131532813,3.16227766016838,7.28892769452126,4,1,"PC","6","3","1","0"
"World Championship Spelling","2010","Misc","505 Games",0.04,68.5,7,"E",0,0,4.12310562561766,2.63905732961526,3,2,"DS","5","2","0","0"
"Block Party","2008","Misc","Activision",0.15,68.5,2.8,"E10+",0,0.00995033085316809,4.12310562561766,1.6094379124341,2,1,"Wii","5","2","0","1"
"Test Drive Unlimited","2007","Racing","Atari",0.02,79,8.1,"T",0,0,4.24264068711928,4.8283137373023,3,1,"PC","5","2","0","0"
"Luxor: Pharaoh's Challenge","N/A","Puzzle","Funsta",0.04,70,7.5,"E",0,0,3.74165738677394,2.484906649788,4,1,"Wii","999","999","0","1"
"Syphon Filter 2","2000","Shooter","Sony Computer Entertainment",2.15,73,7.4,"Unknown",0.0198026272961797,0.0769610411361284,5.65685424949238,4.14313472639153,3,3,"PS","3","1","1","1"
"South Park Rally","2000","Racing","Acclaim Entertainment",0.2,69,7.4,"Unknown",0,0,4.24264068711928,2.89037175789616,3,2,"DS","3","1","0","0"
"Army Men World War: Final Front","2001","Action","3DO",0.44,68,7.4,"Unknown",0,0.0295588022415444,4.69041575982343,3.29583686600433,6,1,"PS","4","2","1","1"
"Petz: Catz 2","2006","Simulation","Ubisoft",0.37,70,7.6,"E",0,0.048790164169432,4.12310562561766,3.04452243772342,3,1,"PS","5","2","0","1"
"Far Cry: Primal","2016","Action","Ubisoft",0.16,74,4.8,"M",0,0.00995033085316809,4.24264068711928,5.91079664404053,3,1,"PC","7","3","1","0"
"Adventures of Tron","1981","Action","Mattel Interactive",0.67,68,7.4,"Unknown",0,0.00995033085316809,4.69041575982343,3.29583686600433,3,2,"2600","0","0","1","1"
"NTRA Breeders' Cup World Thoroughbred Championships","2005","Simulation","Bethesda Softworks",0.06,70,7.6,"Unknown",0,0,4.12310562561766,3.04452243772342,6,2,"XB","4","2","0","1"
"Disney TH!NK Fast: The Ultimate Trivia Showdown","2008","Misc","Disney Interactive Studios",0.6,68.5,7,"Unknown",0.00995033085316809,0.0582689081239758,4.12310562561766,2.63905732961526,8,3,"Wii","5","2","0","1"
"ATV Offroad Fury Pro","2006","Racing","Sony Computer Entertainment",0.45,76,7.4,"E",0,0.0392207131532813,5.65685424949238,2.89037175789616,4,3,"PS","5","2","0","1"
"Wade Hixton's Counter Punch","2004","Sports","Destination Software, Inc",0.01,78,9.5,"T",0,0,3.60555127546399,1.6094379124341,5,3,"GB","4","2","1","1"
"Futurama","2003","Platform","SCi",0.05,58,6.9,"T",0,0,4.58257569495584,2.70805020110221,1,1,"XB","4","2","1","1"
"Blazing Angels 2: Secret Missions of WWII","2007","Simulation","Ubisoft",0.14,72,7.8,"T",0,0.00995033085316809,4.89897948556636,2.56494935746154,7,1,"XB","5","2","0","1"
"Tokimeki Memorial: Taisen Pazurudama","1996","Puzzle","Konami Digital Entertainment",0.1,70,7.5,"Unknown",0.0861776962410524,0.00995033085316809,3.74165738677394,2.484906649788,4,3,"PS","3","1","0","1"
"Saban's Power Rangers: Lightspeed Rescue","2000","Action","THQ",0.36,68,7.4,"Unknown",0,0,4.69041575982343,3.29583686600433,6,1,"DS","3","1","1","0"
"Martian Gothic: Unification","2001","Adventure","Take-Two Interactive",0.11,64,6.1,"M",0,0.00995033085316809,2,2.83321334405622,3,3,"PS","4","2","0","1"
"Clock Tower 3","2002","Adventure","Capcom",0.33,69,7.6,"M",0.113328685307003,0.0295588022415444,5.29150262212918,3.66356164612965,3,1,"PS","4","2","0","1"
"LEGO Marvel Super Heroes","2013","Action","Warner Bros. Interactive Entertainment",0.17,78,8.1,"E10+",0,0.00995033085316809,2.64575131106459,4.8283137373023,4,4,"PC","6","3","1","0"
"Puzzle Chronicles","2010","Puzzle","Konami Digital Entertainment",0.08,62,7.5,"E10+",0,0.00995033085316809,4.35889894354067,2.484906649788,2,3,"PS","5","2","0","1"
"Mega Man X: Command Mission","2004","Role-Playing","Capcom",0.18,69,7.1,"E",0,0.0198026272961797,5.19615242270663,2.94443897916644,5,1,"PS","4","2","0","1"
"SimCity 2000","1995","Simulation","THQ",0.49,70,7.6,"Unknown",0.398776119957368,0,4.12310562561766,3.04452243772342,2,1,"DS","2","1","0","0"
"Aggressive Inline","2002","Sports","Acclaim Entertainment",0.06,88,7.8,"T",0,0,4,1.79175946922805,2,2,"GC","4","2","1","0"
"Knockout Kings","1997","Fighting","Electronic Arts",1.52,72,7.7,"Unknown",0,0.0582689081239758,4.89897948556636,3.3322045101752,2,2,"PS","3","1","1","1"
"Dragon Ball Z: Infinite World","2008","Fighting","Namco Bandai Games",0.36,48,7.9,"T",0.19062035960865,0.0198026272961797,4.12310562561766,3.63758615972639,5,3,"PS","5","2","1","1"
"Galerians: Ash","2002","Adventure","Sammy Corporation",0.07,50,7.9,"T",0,0.00995033085316809,4.69041575982343,2.484906649788,2,2,"PS","4","2","0","1"
"Far East of Eden II: Manji Maru","2003","Role-Playing","Hudson Soft",0.17,74,7.9,"Unknown",0.157003748809665,0,5.47722557505166,3.96081316959758,7,2,"PS","4","2","0","1"
"World Soccer Jikkyou Winning Eleven 3: World Cup France '98","1998","Sports","Konami Digital Entertainment",0.81,75,7.4,"Unknown",0.559615787935423,0.048790164169432,4.24264068711928,2.83321334405622,10,3,"PS","3","1","1","1"
"Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales)","2008","Role-Playing","Atlus",0.17,74,7.9,"Unknown",0.157003748809665,0,5.47722557505166,3.96081316959758,13,1,"PS","5","2","0","1"
"SaGa 2: Hihou Densetsu - Goddess of Destiny","2009","Role-Playing","Square Enix",0.17,74,7.9,"Unknown",0.157003748809665,0,5.47722557505166,3.96081316959758,7,2,"DS","5","2","0","0"
"Mega Man Battle Network 5: Double Team DS (US sales)","2005","Role-Playing","Nintendo",0.06,74,7.9,"Unknown",0,0,5.47722557505166,3.96081316959758,10,1,"DS","4","2","0","0"
"F-14 Tomcat","2001","Action","Majesco Entertainment",0.7,67,7.4,"E",0,0.00995033085316809,2.82842712474619,3.29583686600433,3,2,"GB","4","2","1","1"
"Castlevania Bloodlines","1994","Platform","Konami Digital Entertainment",0.04,69,7.7,"Unknown",0.0392207131532813,0,4.12310562561766,3.13549421592915,2,3,"others","2","1","1","0"
"Hallowed Legends: Samhain","2011","Adventure","Focus Home Interactive",0.03,66,7.5,"Unknown",0,0.00995033085316809,4,2.77258872223978,3,3,"PC","6","3","0","0"
"Pro Evolution Soccer 2010","2009","Sports","Konami Digital Entertainment",2.28,78,6.7,"E",0.378436435720245,0.231111720963387,6.48074069840786,4.34380542185368,4,3,"PS","5","2","1","1"
"WWE Crush Hour","2003","Racing","THQ",0.35,56,5.3,"T",0,0.0392207131532813,3.60555127546399,2.19722457733622,3,1,"PS","4","2","0","1"
"Tomb Raider","1996","Action","Eidos Interactive",4.63,91,8.6,"T",0.122217632724249,0.215111379616945,3.60555127546399,4.99721227376411,2,2,"PS","3","1","1","1"
"Major League Baseball 2K12","2012","Sports","Take-Two Interactive",0.5,68,6.4,"E",0,0.0295588022415444,4.35889894354067,3.13549421592915,4,3,"XB","6","3","1","1"
"Kinnikuman Muscle Grand Prix Max 2: Tokumori","2008","Fighting","Namco Bandai Games",0.07,72,7.7,"Unknown",0.0676586484738149,0,4.89897948556636,3.3322045101752,7,3,"PS","5","2","1","1"
"Hell's Kitchen: The Game","2008","Simulation","Ubisoft",0.37,70,7.6,"Unknown",0,0.0295588022415444,4.12310562561766,3.04452243772342,5,1,"DS","5","2","0","0"
"Vehicular Combat League presents Motor Mayhem","2001","Racing","Atari",0.16,69,7.4,"Unknown",0,0.0198026272961797,4.24264068711928,2.89037175789616,6,1,"PS","4","2","0","1"
"Kingdom Hearts 358/2 Days","2009","Role-Playing","Square Enix",1.98,75,7.8,"E10+",0.425267735404344,0.122217632724249,7.28010988928052,5.09375020080676,5,2,"DS","5","2","0","0"
"Injustice: Gods Among Us","2013","Fighting","Warner Bros. Interactive Entertainment",0.13,72,7.7,"Unknown",0,0.0295588022415444,4.89897948556636,3.3322045101752,4,4,"PS","6","3","1","1"
"Dragon Ball Z: Budokai Tenkaichi 3","2007","Fighting","Atari",1.02,72,8.4,"T",0.231111720963387,0.0861776962410524,5.19615242270663,4.12713438504509,6,1,"Wii","5","2","1","1"
"Emily Archer and the Curse of Tutankhamun","2011","Adventure","Mastertronic",0.03,66,7.5,"E10+",0,0,4,2.77258872223978,7,1,"DS","6","3","0","0"
"Spider-Man: The Movie","2002","Action","Activision",4.48,76,7.9,"E",0.0295588022415444,0.207014169384326,5,3.73766961828337,4,1,"PS","4","2","1","1"
"Strawberry Shortcake: Strawberryland Games","2006","Action","Game Factory",0.05,68,7.4,"E",0,0,4.69041575982343,3.29583686600433,4,2,"DS","5","2","1","0"
"LEGO Harry Potter: Years 1-4","2010","Action","Warner Bros. Interactive Entertainment",1.31,79,8,"E10+",0,0.19062035960865,6.48074069840786,3.97029191355212,6,4,"PS","5","2","1","1"
"Field Commander","2006","Strategy","Sony Online Entertainment",0.16,77,7.8,"T",0,0.00995033085316809,7.28010988928052,3.46573590279973,2,3,"PS","5","2","0","1"
"R.U.S.E.","2010","Strategy","Ubisoft",0.27,78,7,"T",0,0.0198026272961797,6.70820393249937,3.66356164612965,4,1,"XB","5","2","0","1"
"Pro Evolution Soccer 2008","2007","Sports","Konami Digital Entertainment",1.59,74,6.1,"E",0.27763173659828,0.122217632724249,4.35889894354067,3.87120101090789,4,3,"PS","5","2","1","1"
"Over the Hedge","2006","Platform","Activision",0.35,61,9.3,"E10+",0,0.00995033085316809,4.58257569495584,1.94591014905531,3,1,"GC","5","2","1","0"
"Family GameShow","2009","Misc","Zushi Games",0.09,68.5,7,"E10+",0,0.00995033085316809,4.12310562561766,2.63905732961526,2,2,"Wii","5","2","0","1"
"World Championship Poker featuring Howard Lederer: All In","2006","Misc","505 Games",0.02,68.5,7,"T",0,0,4.12310562561766,2.63905732961526,8,2,"Wii","5","2","0","1"
"WWE All Stars","2011","Fighting","THQ",0.19,68,7,"T",0,0.0198026272961797,3.3166247903554,2.19722457733622,3,1,"Wii","6","3","1","1"
"Rock Band 3","2010","Misc","MTV Games",0.88,93,8.2,"T",0,0.0582689081239758,7.54983443527075,4.92725368515721,3,2,"XB","5","2","0","1"
"Diner Dash: Flo on the Go","2009","Puzzle","Zoo Games",0.14,70,7.5,"E",0,0.00995033085316809,3.74165738677394,2.484906649788,6,2,"DS","5","2","0","0"
"Super Robot Taisen α Gaiden","2001","Strategy","Banpresto",0.62,74,7.9,"Unknown",0.457424847038875,0.0392207131532813,4.89897948556636,3.59731226058845,5,1,"PS","4","2","0","1"
"Atari Flashback Classics: Volume 1","2016","Misc","Atari",0.03,68.5,7,"E",0,0,4.12310562561766,2.63905732961526,5,1,"PS","7","3","0","1"
"Tom and Jerry in War of the Whiskers","2002","Fighting","Ubisoft",0.26,72,7.7,"Unknown",0,0.0295588022415444,4.89897948556636,3.3322045101752,8,1,"PS","4","2","1","1"
"Left 4 Dead 2","2009","Shooter","Valve Software",0.36,89,8.5,"M",0,0.0392207131532813,7.41619848709566,7.83636976054512,4,2,"PC","5","2","1","0"
"Star Wars Episode II: Attack of the Clones","2002","Action","THQ",0.77,38,5,"E",0,0.00995033085316809,3.74165738677394,1.94591014905531,8,1,"GB","4","2","1","1"
"Backyard NFL Football","2007","Sports","Atari",0.03,75,7.4,"Unknown",0,0,4.24264068711928,2.83321334405622,3,1,"Wii","5","2","1","1"
"Dragon Quest Heroes: The World's Tree Woe and the Blight Below","2015","Action","Square Enix",0.74,68,7.4,"Unknown",0.314810739840034,0.0582689081239758,4.69041575982343,3.29583686600433,12,2,"PS","6","3","1","1"
"Captain Morgane and the Golden Turtle","2012","Adventure","Reef Entertainment",0.03,54,6.2,"Unknown",0,0,2.44948974278318,2.484906649788,6,2,"PC","6","3","0","0"
"Kingdom Hearts Re:coded","2010","Role-Playing","Square Enix",0.93,66,7,"E10+",0.2390169004705,0.048790164169432,7.61577310586391,4.34380542185368,4,2,"DS","5","2","0","0"
"Star Fox 64 3D","2011","Shooter","Nintendo",0.94,81,8.2,"E10+",0.122217632724249,0.0582689081239758,8.06225774829855,5.44673737166631,4,1,"DS","6","3","1","0"
"Mega Man X","1993","Platform","Capcom",1.16,69,7.7,"Unknown",0.405465108108164,0.00995033085316809,4.12310562561766,3.13549421592915,3,1,"DS","2","1","1","0"
"King's Field","1995","Role-Playing","Sony Computer Entertainment",0.16,74,7.9,"Unknown",0,0.00995033085316809,5.47722557505166,3.96081316959758,3,3,"PS","2","1","0","1"
"Junior Classic Games","2009","Misc","Avanquest",0.38,68.5,7,"E",0,0.0295588022415444,4.12310562561766,2.63905732961526,3,1,"DS","5","2","0","0"
"Rhythm Heaven","2008","Misc","Nintendo",3.11,83,9,"E",1.07500242302898,0.122217632724249,6.92820323027551,4.15888308335967,2,1,"DS","5","2","0","0"
"Medieval II: Total War Gold Edition","2008","Strategy","Sega",0.37,74,8,"T",0,0.0295588022415444,4.89897948556636,2.30258509299405,6,1,"PC","5","2","0","0"
"Mario vs. Donkey Kong: Tipping Stars","2015","Puzzle","Nintendo",0.06,70,7.5,"E",0.0582689081239758,0,3.87298334620742,3.89182029811063,6,1,"DS","6","3","0","0"
"God of War Collection","2009","Action","Sony Computer Entertainment",2.6,91,8.7,"M",0.0582689081239758,0.336472236621213,7.07106781186548,6.27287700654617,4,3,"PS","5","2","1","1"
"Freddi Fish: ABC under the sea","2008","Misc","Atari",0.13,68.5,7,"Unknown",0,0.00995033085316809,4.12310562561766,2.63905732961526,6,1,"DS","5","2","0","0"
"Jampack Spring 2004 (RP-T)","2003","Misc","Sony Computer Entertainment",0.41,68.5,7,"Unknown",0,0.048790164169432,4.12310562561766,2.63905732961526,5,3,"PS","4","2","0","1"
"NHL 11","2010","Sports","Electronic Arts",0.59,88,7.1,"E10+",0,0.0676586484738149,6.16441400296898,4.00733318523247,2,2,"PS","5","2","1","1"
"Mega Man 4","1991","Platform","Capcom",0.93,69,7.7,"Unknown",0.27763173659828,0.00995033085316809,4.12310562561766,3.13549421592915,3,1,"DS","2","1","1","0"
"Spy Hunter","2002","Racing","Midway Games",0.34,71,7.4,"T",0,0.00995033085316809,4.35889894354067,2.89037175789616,2,2,"XB","4","2","0","1"
"Rayman Raving Rabbids 2","2007","Misc","Ubisoft",0.8,57,7,"E10+",0,0.0582689081239758,2.82842712474619,2.77258872223978,4,1,"DS","5","2","0","0"
"World Championship Poker","2004","Misc","Play It",0.95,60,7.7,"E",0,0.122217632724249,2.82842712474619,2.484906649788,3,2,"PS","4","2","0","1"
"Dishonored 2","2016","Action","Bethesda Softworks",0.22,88,6.8,"M",0,0.0198026272961797,4.69041575982343,5.05624580534831,2,2,"XB","7","3","1","1"
"Madden NFL 16","2015","Sports","Electronic Arts",2.42,84,6.1,"E",0,0.231111720963387,4.79583152331272,4.8283137373023,3,2,"XB","6","3","1","1"
"SpongeBob's Truth or Square","2009","Action","THQ",0.07,68,6.5,"E",0,0,4.69041575982343,2.77258872223978,5,1,"XB","5","2","1","1"
"The Sims 2: Castaway","2007","Simulation","Electronic Arts",1.2,73,8.2,"T",0,0.131028262406404,4.35889894354067,2.39789527279837,4,2,"Wii","5","2","0","1"
"Tomb Raider: Legend","2006","Action","Eidos Interactive",0.02,82,7.9,"T",0,0,5.56776436283002,5.50125821054473,3,2,"PC","5","2","1","0"
"Eve: Burst Error R","2016","Action","Red Flagship",0.01,68,7.4,"Unknown",0.00995033085316809,0,4.69041575982343,3.29583686600433,4,2,"PS","7","3","1","1"
"LEGO Dimensions","2015","Action","Warner Bros. Interactive Entertainment",0.55,68,6.4,"Unknown",0,0.0861776962410524,4.69041575982343,2.94443897916644,2,4,"PS","6","3","1","1"
"Cities XL 2011","2010","Simulation","Focus Home Interactive",0.02,70,5.7,"E",0,0,4.12310562561766,3.68887945411394,3,3,"PC","5","2","0","0"
"Tsuki no Hikari: Shizumeru Kane no Satsujin","2002","Adventure","Victor Interactive",0.02,66,7.5,"Unknown",0.0198026272961797,0,4,2.77258872223978,7,2,"PS","4","2","0","1"
"Spec Ops: The Line","2012","Shooter","Take-Two Interactive",0.42,76,8.2,"M",0,0.0392207131532813,7.68114574786861,5.76832099579377,4,3,"XB","6","3","1","1"
"Ninja Gaiden II","2008","Action","Tecmo Koei",1.01,81,8,"M",0.048790164169432,0.0953101798043249,8.60232526704263,5.71373280550937,3,2,"XB","5","2","1","1"
"G1 Grand Prix","2012","Action","Genki",0.05,68,7.4,"Unknown",0.048790164169432,0,4.69041575982343,3.29583686600433,3,1,"DS","6","3","1","0"
"Fishing Master (jp sales)","2007","Sports","Konami Digital Entertainment",0.06,75,7.4,"Unknown",0.0582689081239758,0,4.24264068711928,2.83321334405622,4,3,"Wii","5","2","1","1"
"Brandish: The Dark Revenant","2009","Role-Playing","Falcom Corporation",0.02,78,8.3,"T",0.0198026272961797,0,3,2.56494935746154,4,2,"PS","5","2","0","1"
"Shin Hayarigami 2","2016","Adventure","Nippon Ichi Software",0.01,66,7.5,"Unknown",0.00995033085316809,0,4,2.77258872223978,3,3,"PS","7","3","0","1"
"Chrysler Classic Racing","2008","Racing","Zoo Games",0.02,69,7.4,"E",0,0,4.24264068711928,2.89037175789616,3,2,"DS","5","2","0","0"
"Vampire Savior: The Lord of Vampire","1998","Fighting","Capcom",0.18,72,7.7,"Unknown",0.165514438477573,0,4.89897948556636,3.3322045101752,6,1,"others","3","1","1","0"
"F1 2014","2014","Racing","Codemasters",0.41,62,4.1,"E",0.0198026272961797,0.0582689081239758,4.35889894354067,3.36729582998647,2,1,"PS","6","3","0","1"
"NBA Ballers: Phenom","2006","Sports","Midway Games",0.47,69,8.5,"E",0,0.0582689081239758,4.35889894354067,2.19722457733622,3,2,"PS","5","2","1","1"
"Gallop Racer 2001","2001","Sports","Tecmo Koei",0.17,71,9.1,"E",0.0582689081239758,0.00995033085316809,3.3166247903554,4.04305126783455,3,2,"PS","4","2","1","1"
"Skate it","2008","Sports","Electronic Arts",0.17,72,7.8,"E",0,0.00995033085316809,3.60555127546399,2.56494935746154,2,2,"DS","5","2","1","0"
"Fast Racing Neo ","2016","Action","Nintendo",0.01,81,8.5,"E",0,0,6.78232998312527,5.02388052084628,3,1,"Wii","7","3","1","1"
"Wall-E","2008","Platform","THQ",0.02,58,6.8,"E",0,0,2.44948974278318,2.89037175789616,2,1,"PC","5","2","1","0"
"NASCAR The Game: Inside Line","2012","Racing","Activision",0.1,72,3.4,"E",0,0.00995033085316809,2.64575131106459,3.3322045101752,5,1,"XB","6","3","0","1"
"NCAA Football 06","2005","Sports","Electronic Arts",0.97,87,8.3,"E",0,0.0295588022415444,6.16441400296898,3.3322045101752,3,2,"XB","4","2","1","1"
"Madden NFL 06","2005","Sports","Electronic Arts",0.23,71,7.4,"E",0,0,2.64575131106459,2.83321334405622,3,2,"GB","4","2","1","1"
"Shaman King: Chou Senjiryokketsu 3","2002","Role-Playing","King Records",0.02,74,7.9,"Unknown",0.0198026272961797,0,5.47722557505166,3.96081316959758,5,2,"GB","4","2","0","1"
"We Wish You A Merry Christmas","2009","Action","Destineer",0.19,68,7.4,"E",0,0.0198026272961797,4.69041575982343,3.29583686600433,6,1,"Wii","5","2","1","1"
"Viva Pinata","2007","Simulation","Microsoft Game Studios",0.02,78,7.8,"E",0,0,4.47213595499958,3.04452243772342,2,3,"PC","5","2","0","0"
"Raiden IV","2008","Shooter","Moss",0.12,63,7.8,"E10+",0.00995033085316809,0.00995033085316809,2,2.39789527279837,2,1,"XB","5","2","1","1"
"Power Rangers: Super Legends","2007","Action","Disney Interactive Studios",0.1,68,7.4,"Unknown",0,0.00995033085316809,4.69041575982343,3.29583686600433,4,3,"DS","5","2","1","0"
"Hakuoki Zuisouroku Omokage Hana","2015","Action","Idea Factory",0.03,68,7.4,"Unknown",0.0295588022415444,0,4.69041575982343,3.29583686600433,4,2,"PS","6","3","1","1"
"Jikkyou Powerful Pro Yakyuu 2013","2013","Sports","Konami Digital Entertainment",0.17,75,7.4,"Unknown",0.157003748809665,0,4.24264068711928,2.83321334405622,5,3,"PS","6","3","1","1"
"Super Robot Monkey Team: Game Boy Advance Video Volume 1","2005","Misc","N/A",0.01,68.5,7,"Unknown",0,0,4.12310562561766,2.63905732961526,10,2,"GB","4","2","0","1"
"Avatar: The Last Airbender - The Burning Earth","2007","Action","THQ",0.34,68,7.4,"Unknown",0,0.0295588022415444,4.69041575982343,3.29583686600433,7,1,"DS","5","2","1","0"
"Cabela's Survival: Shadows of Katmai","2011","Sports","Activision",0.18,75,7.4,"T",0,0.0198026272961797,4.24264068711928,1.79175946922805,6,1,"PS","6","3","1","1"
"Hamster Tarou","1999","Simulation","Jorudan",0.3,70,7.6,"Unknown",0.262364264467491,0,4.12310562561766,3.04452243772342,2,1,"GB","3","1","0","1"
"Mobile Suit Gundam Age: Universe Accel / Cosmic Drive","2012","Action","Namco Bandai Games",0.11,68,7.4,"Unknown",0.104360015324243,0,4.69041575982343,3.29583686600433,8,3,"PS","6","3","1","1"
"Discworld","1994","Adventure","Psygnosis",0.06,66,7.5,"Unknown",0,0,4,2.77258872223978,1,1,"PS","2","1","0","1"
"Rogue Ops","2003","Action","Kemco",0.13,63,7.4,"M",0,0,4.89897948556636,3.29583686600433,2,1,"XB","4","2","1","1"
"SoulCalibur Legends (JP sales)","2007","Action","Namco Bandai Games",0.01,68,7.4,"Unknown",0.00995033085316809,0,4.69041575982343,3.29583686600433,4,3,"Wii","5","2","1","1"
"Naruto Shippuden: Kizuna Drive","2010","Action","Namco Bandai Games",0.13,57,5,"T",0.048790164169432,0.00995033085316809,4.69041575982343,1.94591014905531,4,3,"PS","5","2","1","1"
"Jackie Chan: Stuntmaster","1999","Action","Sony Computer Entertainment",0.22,68,7.4,"Unknown",0,0.00995033085316809,4.69041575982343,3.29583686600433,3,3,"PS","3","1","1","1"
"X-Men Legends","2004","Role-Playing","Activision",0.53,81,8.5,"T",0,0.00995033085316809,6,2.484906649788,3,1,"GC","4","2","0","0"
"Dragon Quest Monsters: Joker 2","2010","Role-Playing","Square Enix",1.41,77,7.3,"E",0.806475865866949,0.0198026272961797,5.74456264653803,2.77258872223978,5,2,"DS","5","2","0","0"
"Power Play Pool","2006","Sports","System 3 Arcade Software",0.04,75,7.4,"E",0,0,4.24264068711928,2.83321334405622,3,4,"DS","5","2","1","0"
"HSX HyperSonic.Xtreme","2002","Racing","Midas Interactive Entertainment",0.51,53,8.4,"E",0,0.0676586484738149,4.12310562561766,2.19722457733622,3,3,"PS","4","2","0","1"
"Kurogane Kaikitan","2015","Adventure","Minato Station",0.01,66,7.5,"Unknown",0.00995033085316809,0,4,2.77258872223978,2,2,"PS","6","3","0","1"
"Armored Core: Verdict Day","2013","Simulation","From Software",0.12,66,7.4,"T",0.113328685307003,0,4.24264068711928,3.36729582998647,4,2,"PS","6","3","0","1"
