"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"Strawberry Shortcake: Strawberryland Games","DS","2006","Action","Game Factory",0.05,0,0,0,0.05,NA,NA,"tbd",NA,"Gorilla Systems","E"
"LEGO Harry Potter: Years 1-4","PS3","2010","Action","Warner Bros. Interactive Entertainment",0.55,0.55,0,0.21,1.31,79,42,"8",52,"Traveller's Tales","E10+"
"Field Commander","PSP","2006","Strategy","Sony Online Entertainment",0.14,0,0,0.01,0.16,77,53,"7.8",31,"Sony Online Entertainment, Mind Control Software","T"
"R.U.S.E.","X360","2010","Strategy","Ubisoft",0.12,0.11,0,0.02,0.27,78,45,"7",38,"Eugen Systems","T"
"Pro Evolution Soccer 2008","PS3","2007","Sports","Konami Digital Entertainment",0.04,1.1,0.32,0.13,1.59,74,19,"6.1",47,"Konami","E"
"Over the Hedge","GC","2006","Platform","Activision",0.27,0.07,0,0.01,0.35,61,21,"9.3",6,"Edge of Reality","E10+"
"Family GameShow","Wii","2009","Misc","Zushi Games",0.08,0,0,0.01,0.09,NA,NA,"tbd",NA,"Zushi Games Ltd","E10+"
"World Championship Poker featuring Howard Lederer: All In","Wii","2006","Misc","505 Games",0.02,0,0,0,0.02,NA,NA,"tbd",NA,"Point of View","T"
"WWE All Stars","Wii","2011","Fighting","THQ",0.1,0.07,0,0.02,0.19,68,11,"7",8,"THQ","T"
"Rock Band 3","X360","2010","Misc","MTV Games",0.73,0.09,0,0.06,0.88,93,57,"8.2",137,"Harmonix Music Systems","T"
"Diner Dash: Flo on the Go","DS","2009","Puzzle","Zoo Games",0.13,0,0,0.01,0.14,NA,NA,"tbd",NA,"Zoo Games","E"
"Super Robot Taisen α Gaiden","PS","2001","Strategy","Banpresto",0,0,0.58,0.04,0.62,NA,NA,"",NA,"",""
"Atari Flashback Classics: Volume 1","PS4","2016","Misc","Atari",0.02,0,0,0,0.03,NA,NA,"tbd",NA,"Atari, Atari SA","E"
"Tom and Jerry in War of the Whiskers","PS2","2002","Fighting","Ubisoft",0.13,0.1,0,0.03,0.26,NA,NA,"",NA,"",""
"Left 4 Dead 2","PC","2009","Shooter","Valve Software",0,0.32,0,0.04,0.36,89,55,"8.5",2530,"Valve Software","M"
"Star Wars Episode II: Attack of the Clones","GBA","2002","Action","THQ",0.55,0.2,0,0.01,0.77,38,14,"5",6,"David A. Palmer Productions","E"
"Backyard NFL Football","Wii","2007","Sports","Atari",0.02,0,0,0,0.03,NA,NA,"",NA,"",""
"Dragon Quest Heroes: The World's Tree Woe and the Blight Below","PS4","2015","Action","Square Enix",0.17,0.13,0.37,0.06,0.74,NA,NA,"",NA,"",""
"Captain Morgane and the Golden Turtle","PC","2012","Adventure","Reef Entertainment",0,0.02,0,0,0.03,54,6,"6.2",11,"Wizarbox",""
"Kingdom Hearts Re:coded","DS","2010","Role-Playing","Square Enix",0.53,0.09,0.27,0.05,0.93,66,58,"7",76,"Square Enix, h.a.n.d. Inc.","E10+"
"Star Fox 64 3D","3DS","2011","Shooter","Nintendo",0.48,0.27,0.13,0.06,0.94,81,65,"8.2",231,"Nintendo","E10+"
"Mega Man X","SNES","1993","Platform","Capcom",0.57,0.08,0.5,0.01,1.16,NA,NA,"",NA,"",""
"King's Field","PS","1995","Role-Playing","Sony Computer Entertainment",0.09,0.06,0,0.01,0.16,NA,NA,"",NA,"",""
"Junior Classic Games","DS","2009","Misc","Avanquest",0.26,0.09,0,0.03,0.38,NA,NA,"tbd",NA,"Uacari","E"
"Rhythm Heaven","DS","2008","Misc","Nintendo",0.55,0.5,1.93,0.13,3.11,83,48,"9",63,"Nintendo","E"
"Medieval II: Total War Gold Edition","PC","2008","Strategy","Sega",0,0.34,0,0.03,0.37,NA,NA,"8",9,"Sega","T"
"Mario vs. Donkey Kong: Tipping Stars","3DS","2015","Puzzle","Nintendo",0,0,0.06,0,0.06,70,15,"7.5",48,"Nintendo, Nintendo Software Technology","E"
"God of War Collection","PS3","2009","Action","Sony Computer Entertainment",1.7,0.44,0.06,0.4,2.6,91,50,"8.7",529,"Bluepoint Games","M"
"Freddi Fish: ABC under the sea","DS","2008","Misc","Atari",0.12,0,0,0.01,0.13,NA,NA,"",NA,"",""
"Jampack Spring 2004 (RP-T)","PS2","2003","Misc","Sony Computer Entertainment",0.2,0.16,0,0.05,0.41,NA,NA,"",NA,"",""
"NHL 11","PS3","2010","Sports","Electronic Arts",0.4,0.12,0,0.07,0.59,88,38,"7.1",54,"Electronic Arts","E10+"
"Mega Man 4","NES","1991","Platform","Capcom",0.51,0.09,0.32,0.01,0.93,NA,NA,"",NA,"",""
"Spy Hunter","XB","2002","Racing","Midway Games",0.25,0.07,0,0.01,0.34,71,19,"tbd",NA,"Point of View","T"
"Rayman Raving Rabbids 2","DS","2007","Misc","Ubisoft",0.73,0.01,0,0.06,0.8,57,8,"7",15,"Ubisoft Paris","E10+"
"World Championship Poker","PS2","2004","Misc","Play It",0.8,0.03,0,0.13,0.95,60,8,"7.7",11,"Coresoft","E"
"Dishonored 2","XOne","2016","Action","Bethesda Softworks",0.12,0.08,0,0.02,0.22,88,22,"6.8",156,"Arkane Studios","M"
"Madden NFL 16","XOne","2015","Sports","Electronic Arts",2.08,0.08,0,0.26,2.42,84,23,"6.1",124,"EA Sports","E"
"SpongeBob's Truth or Square","X360","2009","Action","THQ",0.03,0.04,0,0,0.07,NA,NA,"6.5",15,"Heavy Iron Studios","E"
"The Sims 2: Castaway","Wii","2007","Simulation","Electronic Arts",0.44,0.63,0,0.14,1.2,73,19,"8.2",10,"Maxis","T"
"Tomb Raider: Legend","PC","2006","Action","Eidos Interactive",0,0.01,0,0,0.02,82,31,"7.9",244,"Nixxes Software","T"
"Eve: Burst Error R","PSV","2016","Action","Red Flagship",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"LEGO Dimensions","PS3","2015","Action","Warner Bros. Interactive Entertainment",0.17,0.3,0,0.09,0.55,NA,NA,"6.4",18,"",""
"Cities XL 2011","PC","2010","Simulation","Focus Home Interactive",0,0.02,0,0,0.02,70,17,"5.7",39,"Monte Cristo Multimedia","E"
"Tsuki no Hikari: Shizumeru Kane no Satsujin","PS2","2002","Adventure","Victor Interactive",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Spec Ops: The Line","X360","2012","Shooter","Take-Two Interactive",0.21,0.17,0,0.04,0.42,76,59,"8.2",319,"Yager","M"
"Ninja Gaiden II","X360","2008","Action","Tecmo Koei",0.65,0.22,0.05,0.1,1.01,81,74,"8",302,"Team Ninja, Tecmo","M"
"G1 Grand Prix","3DS","2012","Action","Genki",0,0,0.05,0,0.05,NA,NA,"",NA,"",""
"Fishing Master (jp sales)","Wii","2007","Sports","Konami Digital Entertainment",0,0,0.06,0,0.06,NA,NA,"",NA,"",""
"Brandish: The Dark Revenant","PSP","2009","Role-Playing","Falcom Corporation",0,0,0.02,0,0.02,78,9,"8.3",12,"Falcom","T"
"Shin Hayarigami 2","PS4","2016","Adventure","Nippon Ichi Software",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Chrysler Classic Racing","DS","2008","Racing","Zoo Games",0.02,0,0,0,0.02,NA,NA,"tbd",NA,"Extra Mile Studios","E"
"Vampire Savior: The Lord of Vampire","SAT","1998","Fighting","Capcom",0,0,0.18,0,0.18,NA,NA,"",NA,"",""
"F1 2014","PS3","2014","Racing","Codemasters",0.07,0.26,0.02,0.06,0.41,62,19,"4.1",28,"Codemasters Birmingham","E"
"NBA Ballers: Phenom","PS2","2006","Sports","Midway Games",0.23,0.18,0,0.06,0.47,69,19,"8.5",8,"Midway","E"
"Gallop Racer 2001","PS2","2001","Sports","Tecmo Koei",0.05,0.04,0.06,0.01,0.17,71,11,"9.1",56,"Tecmo","E"
"Skate it","DS","2008","Sports","Electronic Arts",0.14,0.02,0,0.01,0.17,72,13,"7.8",12,"Exient Entertainment","E"
"Fast Racing Neo ","WiiU","2016","Action","Nintendo",0,0.01,0,0,0.01,81,46,"8.5",151,"Shin'en","E"
"Wall-E","PC","2008","Platform","THQ",0,0.01,0,0,0.02,58,6,"6.8",17,"Heavy Iron Studios","E"
"NASCAR The Game: Inside Line","X360","2012","Racing","Activision",0.09,0,0,0.01,0.1,72,7,"3.4",27,"Eutechnyx","E"
"NCAA Football 06","XB","2005","Sports","Electronic Arts",0.73,0.21,0,0.03,0.97,87,38,"8.3",27,"EA Sports","E"
"Madden NFL 06","GBA","2005","Sports","Electronic Arts",0.17,0.06,0,0,0.23,71,7,"tbd",NA,"Exient Entertainment","E"
"Shaman King: Chou Senjiryokketsu 3","GBA","2002","Role-Playing","King Records",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"We Wish You A Merry Christmas","Wii","2009","Action","Destineer",0.13,0.04,0,0.02,0.19,NA,NA,"tbd",NA,"Destineer","E"
"Viva Pinata","PC","2007","Simulation","Microsoft Game Studios",0,0.02,0,0,0.02,78,20,"7.8",20,"Climax Group, Climax Studios","E"
"Raiden IV","X360","2008","Shooter","Moss",0.1,0,0.01,0.01,0.12,63,4,"7.8",10,"Moss","E10+"
"Power Rangers: Super Legends","DS","2007","Action","Disney Interactive Studios",0.08,0.02,0,0.01,0.1,NA,NA,"",NA,"",""
"Hakuoki Zuisouroku Omokage Hana","PSV","2015","Action","Idea Factory",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"Jikkyou Powerful Pro Yakyuu 2013","PSP","2013","Sports","Konami Digital Entertainment",0,0,0.17,0,0.17,NA,NA,"",NA,"",""
"Super Robot Monkey Team: Game Boy Advance Video Volume 1","GBA","2005","Misc","N/A",0.01,0,0,0,0.01,NA,NA,"",NA,"",""
"Avatar: The Last Airbender - The Burning Earth","DS","2007","Action","THQ",0.31,0,0,0.03,0.34,NA,NA,"",NA,"",""
"Cabela's Survival: Shadows of Katmai","PS3","2011","Sports","Activision",0.11,0.05,0,0.02,0.18,NA,NA,"7.4",5,"Activision","T"
"Hamster Tarou","GB","1999","Simulation","Jorudan",0,0,0.3,0,0.3,NA,NA,"",NA,"",""
"Mobile Suit Gundam Age: Universe Accel / Cosmic Drive","PSP","2012","Action","Namco Bandai Games",0,0,0.11,0,0.11,NA,NA,"",NA,"",""
"Discworld","PS","1994","Adventure","Psygnosis",0.04,0.02,0,0,0.06,NA,NA,"",NA,"",""
"Rogue Ops","XB","2003","Action","Kemco",0.1,0.03,0,0,0.13,63,24,"tbd",NA,"Bits Studios","M"
"SoulCalibur Legends (JP sales)","Wii","2007","Action","Namco Bandai Games",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Naruto Shippuden: Kizuna Drive","PSP","2010","Action","Namco Bandai Games",0.04,0.02,0.05,0.01,0.13,57,22,"5",6,"Premium Agency","T"
"Jackie Chan: Stuntmaster","PS","1999","Action","Sony Computer Entertainment",0.12,0.08,0,0.01,0.22,NA,NA,"",NA,"",""
"X-Men Legends","GC","2004","Role-Playing","Activision",0.41,0.11,0,0.01,0.53,81,36,"8.5",11,"Raven Software","T"
"Dragon Quest Monsters: Joker 2","DS","2010","Role-Playing","Square Enix",0.09,0.07,1.24,0.02,1.41,77,33,"7.3",15,"TOSE","E"
"Power Play Pool","DS","2006","Sports","System 3 Arcade Software",0.03,0,0,0,0.04,NA,NA,"tbd",NA,"System 3","E"
"HSX HyperSonic.Xtreme","PS2","2002","Racing","Midas Interactive Entertainment",0.25,0.2,0,0.07,0.51,53,17,"8.4",8,"Blade Interactive","E"
"Kurogane Kaikitan","PSV","2015","Adventure","Minato Station",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Armored Core: Verdict Day","PS3","2013","Simulation","From Software",0,0,0.12,0,0.12,66,18,"7.4",28,"From Software","T"
"Clive Barker's Jericho","PC","2007","Shooter","Codemasters",0,0.01,0,0,0.01,63,25,"7.5",218,"Mercury Steam, Alchemic Productions","M"
"SimCity 2000","SAT","1994","Simulation","Sega",0,0,0.28,0,0.28,NA,NA,"",NA,"",""
"Frank Thomas Big Hurt Baseball","PS","1996","Sports","Acclaim Entertainment",0.08,0.05,0,0.01,0.14,NA,NA,"",NA,"",""
"NHL FaceOff 2003","PS2","2002","Sports","Sony Computer Entertainment",0.11,0.09,0,0.03,0.23,55,20,"tbd",NA,"989 Sports","E"
"Monster Hunter Frontier Online","X360","2010","Role-Playing","Capcom",0,0,0.13,0,0.13,NA,NA,"",NA,"",""
"NCAA Football 2005","GC","2004","Sports","Electronic Arts",0.17,0.04,0,0.01,0.22,88,18,"9",5,"EA Sports","E"
"Greg Hastings' Tournament Paintball","XB","2004","Shooter","Activision",0.46,0.06,0,0.02,0.54,74,11,"9.2",42,"WXP","T"
"Dave Mirra Freestyle BMX 2","PS2","2001","Sports","Acclaim Entertainment",0.67,0.53,0,0.18,1.38,81,21,"8.1",18,"Z-Axis, Ltd.","T"
"DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun","DS","2007","Misc","Shogakukan",0,0,0.1,0,0.1,NA,NA,"",NA,"",""
"Deadly Duck","2600","1981","Shooter","20th Century Fox Video Games",0.21,0.01,0,0,0.22,NA,NA,"",NA,"",""
"LEGO Harry Potter: Years 1-4","X360","2010","Action","Warner Bros. Interactive Entertainment",0.95,0.46,0,0.14,1.55,79,58,"8",62,"Traveller's Tales","E10+"
"Deadliest Catch: Alaskan Storm","X360","2008","Sports","Navarre Corp",0.04,0,0,0,0.05,56,14,"5.9",15,"Liquid Dragon Studios","T"
"NBA 2K12","Wii","2011","Sports","Take-Two Interactive",0.29,0.03,0,0.02,0.34,NA,NA,"6.8",6,"Visual Concepts","E"
"Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen","PSP","2012","Action","Namco Bandai Games",0,0,0.06,0,0.06,NA,NA,"",NA,"",""
"Need for Speed: ProStreet","DS","2007","Racing","Electronic Arts",0.11,0.01,0,0.01,0.12,74,8,"7.4",10,"Exient Entertainment","E"
"Conflict: Desert Storm","GC","2003","Shooter","SCi",0.06,0.02,0,0,0.08,62,19,"8.4",13,"Pivotal Games","T"
"Alundra","PS","1997","Role-Playing","Psygnosis",0.13,0.09,0,0.01,0.23,86,9,"9",41,"Matrix Software","T"
"Tekken 6","PSP","2009","Fighting","Namco Bandai Games",0.15,0.03,0.1,0.03,0.32,82,39,"8.2",68,"Namco Bandai Games America, Namco Bandai Games","T"
"Brunswick Circuit Pro Bowling","N64","1999","Sports","THQ",0.05,0.01,0,0,0.06,NA,NA,"",NA,"",""
"Sherlock Holmes and the Mystery of Osborne House","DS","2010","Adventure","Focus Home Interactive",0.07,0.14,0,0.03,0.23,48,11,"tbd",NA,"Frogwares","E10+"
"Apex","XB","2003","Racing","Atari",0.1,0.03,0,0,0.14,74,26,"9.1",7,"Milestone S.r.l","E"
"WWE SmackDown vs. Raw 2010","PS2","2009","Fighting","THQ",0.53,0.01,0,0.54,1.07,NA,NA,"7.7",31,"Yuke's","T"
"Grandia Xtreme","PS2","2002","Role-Playing","Enix Corporation",0.07,0.05,0.25,0.02,0.38,68,16,"6.5",15,"Game Arts","T"
"One Piece: Unlimited Adventure","Wii","2007","Adventure","Namco Bandai Games",0.07,0,0.11,0.01,0.19,67,17,"8.5",32,"Ganbarion","T"
"Etrian Odyssey III: The Drowned City","DS","2010","Role-Playing","Atlus",0.12,0,0.19,0.01,0.31,77,23,"8",21,"Atlus","E10+"
"Turok: Evolution","GBA","2002","Shooter","Acclaim Entertainment",0.08,0.03,0,0,0.12,72,8,"7",5,"RFX Interactive","T"
"Red Faction II","PS2","2002","Shooter","THQ",0.49,0.78,0,0.23,1.5,84,30,"8.3",35,"Volition Inc.","M"
"Pirates: Legend of the Black Buccaneer","PS2","2006","Adventure","10TACLE Studios",0.01,0.01,0,0,0.02,42,4,"7",5,"WideScreen Games","T"
"LEGO Star Wars: The Video Game","PS2","2005","Action","Eidos Interactive",1.98,1.14,0.01,0.41,3.53,NA,NA,"",NA,"",""
"Metal Gear Solid V: The Definitive Experience","PS4","2016","Action","Konami Digital Entertainment",0.01,0.02,0.01,0,0.04,NA,NA,"7.8",11,"Kojima Productions","M"
"Patapon 2","PSP","2008","Misc","Sony Computer Entertainment",0,0.03,0.06,0.01,0.1,81,49,"8.3",62,"SCE Japan Studio","E"
"Imagine: Salon Stylist","DS","2009","Simulation","Ubisoft",0.23,0.1,0,0.03,0.37,NA,NA,"tbd",NA,"Playbox Limited","E"
"Cardfight!! Vanguard: Lock On Victory!!","3DS","2014","Misc","FuRyu",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Hakuouki Portable","PSP","2009","Adventure","Idea Factory",0,0,0.1,0,0.1,NA,NA,"",NA,"",""
"Tsuyo Kiss 3 Portable","PSP","2012","Action","NetRevo",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Disney Infinity","PS3","2013","Action","Disney Interactive Studios",0.49,0.32,0,0.16,0.97,75,21,"5.9",47,"Avalanche Software","E10+"
"Valentino Rossi: The Game","XOne","2016","Racing","Namco Bandai Games",0.01,0.02,0,0,0.03,74,5,"8.1",7,"Milestone S.r.l","E"
